AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR
3,18,413,0,0,0,12,23,264,3,0,60
12,393,8434,1,32,0,96,370,4853,9,0,1388
30,125,6866,1,9,3,92,177,4671,27,0,725
34,163,12693,3,20,2,78,284,7227,2,0,1143
12,19,1250,0,0,0,24,18,1183,1,0,46
4,19,343,0,0,0,3,42,300,0,0,68
3,5,171,0,0,0,4,8,169,0,0,11
4,30,462,0,0,0,10,39,239,0,0,42
7,6,1848,0,5,0,16,33,1780,3,0,88
6,48,1204,0,2,2,9,25,905,5,0,99
6,79,1444,0,0,0,11,34,1681,1,0,198
11,30,1183,0,0,7,24,45,714,0,0,278
